,company_permalink,unique_investors,median_investor_value
197,/organization/4meee,1,9.0
198,/organization/4moms,3,9.0
199,/organization/4soils,1,5.0
200,/organization/4th-aspect,4,4.5
201,/organization/4tiitoo,1,9.0
202,/organization/5-million-shoppers,1,2.0
203,/organization/5-minutes,1,9.0
204,/organization/5-oclock-records,1,5.0
205,/organization/5-screens-media,1,2.0
206,/organization/50-cubes,1,0.0
207,/organization/500friends,22,8.0
209,/organization/500px,8,9.0
210,/organization/500shops,1,0.0
211,/organization/51-auto,1,9.0
212,/organization/51-com,5,9.0
213,/organization/5173-com,3,9.0
214,/organization/51credit-com,2,9.0
215,/organization/51edj,1,9.0
216,/organization/51edu,1,9.0
217,/organization/51fanli,3,9.0
218,/organization/51hejia-com,2,9.0
219,/organization/51intern-com-2,2,0.0
220,/organization/51talk,4,9.0
221,/organization/51wan,3,9.0
222,/organization/5211game,1,9.0
223,/organization/55social,2,9.0
224,/organization/55tuan-com,4,9.0
225,/organization/56-com,6,9.0
226,/organization/58-com,3,9.0
227,/organization/591wed,2,6.5
228,/organization/5app,1,5.0
229,/organization/5by,1,9.0
230,/organization/5gig,6,1.0
231,/organization/5min,2,9.0
232,/organization/5minutes,1,0.0
234,/organization/5rocks,2,8.5
235,/organization/5skills,1,2.0
236,/organization/5th-finger,1,9.0
237,/organization/5th-planet-games,2,6.0
238,/organization/5to1,3,9.0
239,/organization/60mo,3,2.0
240,/organization/64-pixels,1,9.0
241,/organization/640-labs,1,7.0
242,/organization/66-com,1,0.0
243,/organization/6connect,1,9.0
245,/organization/6fusion,2,9.0
246,/organization/6renyou-com,3,9.0
247,/organization/6rooms,4,9.0
248,/organization/6scan,2,7.0
249,/organization/6sense,4,9.0
251,/organization/6sicuro-it,1,8.0
252,/organization/6th-sense-analytics,2,9.0
253,/organization/6wunderkinder,4,9.0
254,/organization/7-billion-people,1,5.0
255,/organization/7-bites,2,4.5
256,/organization/7-cups-of-tea,5,7.0
258,/organization/7-star-entertainment,1,8.0
259,/organization/71lbs,5,7.0
260,/organization/72lux,1,9.0
261,/organization/72xuan,1,0.0
262,/organization/7ac-technologies,2,7.0
263,/organization/7billionideas,1,6.0
264,/organization/7digital,2,9.0
265,/organization/7fgame,1,9.0
266,/organization/7k7k-com,2,9.0
267,/organization/7signal-solutions,6,8.0
268,/organization/7summits,1,0.0
269,/organization/7write,4,1.0
270,/organization/8-securities-limited,5,7.0
271,/organization/80-20-solutions,1,4.0
273,/organization/800app,3,9.0
274,/organization/8020publishing,1,7.0
276,/organization/8868,1,9.0
277,/organization/88tc88,1,7.0
278,/organization/8aweek,1,9.0
279,/organization/8bit-2,8,1.0
280,/organization/8digits,1,0.0
281,/organization/8dworld,2,9.0
282,/organization/8fit-fitness-for-the-rest-of-us,1,7.0
283,/organization/8hands,2,3.5
284,/organization/8minutenergy-renewables,1,9.0
285,/organization/8th-story,1,0.0
286,/organization/8tracks,4,9.0
287,/organization/8trip,2,8.5
288,/organization/8villages,1,5.0
289,/organization/908-devices,5,9.0
290,/organization/90min,3,9.0
291,/organization/91-boyuan-wireles,2,9.0
292,/organization/91-wireless,3,9.0
294,/organization/9158-julur-com,1,9.0
295,/organization/91datong-com,1,9.0
296,/organization/91jinrong,3,9.0
297,/organization/91mobiles,1,6.0
298,/organization/955-dreams,13,9.0
299,/organization/99-co,4,8.0
300,/organization/99bill,3,9.0
302,/organization/99designs,4,8.0
303,/organization/99dresses,4,9.0
304,/organization/99inn-cc,2,9.0
305,/organization/99presents,1,0.0
306,/organization/99taojin-com,1,9.0
307,/organization/99tests,1,0.0
308,/organization/99times-cn,1,9.0
309,/organization/9cookies,1,7.0
310,/organization/9diamond,3,9.0
311,/organization/9flats,3,9.0
312,/organization/9gag,6,9.0
313,/organization/9lenses,3,9.0
314,/organization/9mile-labs,1,8.0
315,/organization/9sky-com,1,9.0
316,/organization/9slides,3,7.0
317,/organization/9tong-com,3,9.0
318,/organization/9you,1,9.0
319,/organization/a-a-manufacturing,1,9.0
320,/organization/a-bit-lucky,8,9.0
321,/organization/a-crowd-of-monsters,3,8.0
322,/organization/a-curated-world,1,6.0
323,/organization/a-fourth-act,1,0.0
324,/organization/a-g-pharmaceutical,3,8.0
325,/organization/a-gas,1,9.0
326,/organization/a-la-mobile,1,9.0
327,/organization/a-list-games,1,6.0
329,/organization/a-little-world,2,6.0
331,/organization/a-smarter-city,1,0.0
332,/organization/a-star,1,9.0
333,/organization/a-tex,1,0.0
334,/organization/a1-software-group,1,5.0
335,/organization/a10-networks,7,9.0
336,/organization/a123systems,11,9.0
338,/organization/a8-digital-music,5,9.0
339,/organization/aa-carpooling-website,1,8.0
340,/organization/aa-party,1,7.0
341,/organization/aardvark,8,9.0
342,/organization/aarki,3,9.0
343,/organization/aasonn,1,9.0
344,/organization/aastrom-biosciences,1,9.0
345,/organization/aatag,1,8.0
346,/organization/aava-mobile,1,9.0
348,/organization/aavya-health,1,2.0
349,/organization/ab-microfinance-bank-nigeria,1,9.0
350,/organization/ab-tasty,2,9.0
351,/organization/aba-english,1,9.0
352,/organization/abacus-e-media,1,9.0
353,/organization/abacus-labs,12,9.0
355,/organization/abaltat,2,6.0
356,/organization/abaxia,2,8.0
357,/organization/abaxx-technology,3,9.0
358,/organization/abazab,5,9.0
359,/organization/abbey-pharma,1,9.0
360,/organization/abbeypost,2,8.0
361,/organization/abbyy-language-services,1,7.0
362,/organization/abcelex-technologies,1,8.0
363,/organization/abcellute,2,8.0
364,/organization/abcodia,1,8.0
365,/organization/abeo,1,9.0
366,/organization/abes-market,8,9.0
367,/organization/ability-network,4,9.0
368,/organization/abilto,3,9.0
369,/organization/abine,2,9.0
370,/organization/abingdon-health,1,9.0
371,/organization/abiogenix,1,2.0
372,/organization/abiquo,6,9.0
373,/organization/abizinabox,1,1.0
375,/organization/ablative-solutions,3,8.0
376,/organization/able-device,1,5.0
377,/organization/ablexis,2,9.0
378,/organization/abloomy,2,6.5
379,/organization/abo-data,2,2.0
380,/organization/abodo,5,5.5
381,/organization/abound-solar,5,9.0
382,/organization/about-web-reservations-international-web-reservations-international,1,9.0
383,/organization/aboutme,6,9.0
384,/organization/aboutone,2,8.5
385,/organization/aboutourwork-com,1,8.0
386,/organization/aboutus-org,1,9.0
387,/organization/above-all-software,4,9.0
388,/organization/abpathfinder,4,6.0
389,/organization/abril,1,9.0
390,/organization/abroad101,1,6.0
391,/organization/absmaterials,3,8.0
392,/organization/absolicon-solar-concentrator,2,3.5
393,/organization/absolutdata,1,8.0
394,/organization/absolute-commerce,1,8.0
395,/organization/absolute-sports-pvt-ltd,1,8.0
396,/organization/absynth-biologics,2,7.5
397,/organization/abt-molecular-imaging,5,8.0
398,/organization/abusix,1,9.0
399,/organization/abyz,1,1.0
400,/organization/acacia,1,7.0
401,/organization/acacia-communications,4,9.0
402,/organization/acacia-interactive,1,7.0
403,/organization/acacia-pharma,4,9.0
404,/organization/acacia-research,1,7.0
405,/organization/acacia-semiconductor,1,1.0
406,/organization/academia-edu,8,9.0
407,/organization/academic-earth,1,5.0
409,/organization/academica,1,9.0
410,/organization/academix-direct-go-internet-media,1,9.0
411,/organization/academize,1,8.0
412,/organization/acadia-pharmaceuticals,2,9.0
413,/organization/acal-energy,8,8.0
414,/organization/acal-enterprise-solutions,1,8.0
415,/organization/acamica,2,4.0
416,/organization/acarix,1,9.0
417,/organization/acb-india-limited,1,9.0
418,/organization/acccess-technology-solutions,1,7.0
419,/organization/accedian-networks,4,9.0
420,/organization/accedo-broadband,1,9.0
421,/organization/accel-diagnostics,2,7.5
422,/organization/accela,1,9.0
425,/organization/accelera,1,9.0
426,/organization/accelerated-orthopedic-technologies,1,8.0
427,/organization/accelereach,1,6.0
429,/organization/accelerize-new-media,1,9.0
430,/organization/acceleron-pharma,7,9.0
431,/organization/accelgolf,5,2.0
432,/organization/accellion,1,9.0
433,/organization/accellos,3,9.0
434,/organization/accelops,3,9.0
435,/organization/accendo-technologies,1,5.0
436,/organization/accent,2,8.0
437,/organization/accept-software,3,8.5
438,/organization/acceptd,3,7.0
439,/organization/accera,2,9.0
440,/organization/accertify,1,9.0
441,/organization/access-closure,3,9.0
442,/organization/access-information-management,1,9.0
443,/organization/access-intelligence,2,5.5
444,/organization/access-media,2,9.0
445,/organization/access-mediquip,1,8.0
446,/organization/access-sports-media-2,3,9.0
448,/organization/access-uk,1,9.0
449,/organization/accessdata,2,9.0
450,/organization/accesspay,2,8.5
451,/organization/accion-international,2,8.0
452,/organization/acclaim-games,1,9.0
453,/organization/acclaimd,3,1.0
454,/organization/acco-brands,3,9.0
455,/organization/acco-semiconductor,1,9.0
456,/organization/accolade,1,9.0
457,/organization/accolo,1,9.0
458,/organization/accompani,3,9.0
459,/organization/accord,1,0.0
460,/organization/accordent-technologies,1,8.0
461,/organization/accountable,2,8.5
462,/organization/accounting-saas-japan,4,8.0
